Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
340,Robert Foster,BUF,WR,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Trevon Wesco,NYJ,TE,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Greg Stroman,WAS,CB,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Duke Riley,ATL,OLB,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Cethan Carter,CIN,TE,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jonathan Allen,WAS,DT,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Nick Bellore,SEA,FB,1,CIN,0,0,0,0,0,0,0,0,0,0,0,1,0,0
340,Rasheem Green,SEA,OLB,1,CIN,0,0,0,0,0,0,0,0,1,0,1,0,0,0
340,L.P. Ladouceur,DAL,LS,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,T.J. Edwards,PHI,ILB,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Dalton Schultz,DAL,TE,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Sean Murphy-Bunting,TB,CB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Johnathan Cyprien,PHI,DB,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Clark Harris,CIN,LS,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Bisi Johnson,MIN,WR,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kevin Johnson,BUF,CB,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Zach Pascal,IND,WR,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Travis Homer,SEA,RB,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Josh Harvey-Clemons,WAS,ILB,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Andy Isabella,ARI,WR,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,David Mayo,NYG,OLB,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kerry Hyder Jr.,DAL,DE,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Chester Rogers,IND,WR,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,C.J. Prosise,SEA,RB,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Chad Thomas,CLE,DE,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kyle Juszczyk,SF,FB,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Eric Tomlinson,NYG,TE,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Justin March-Lillard,DAL,ILB,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Julian Love,NYG,FS,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,D.J. Reed,SF,CB,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Xavier Grimble,PIT,TE,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Ryan Lewis,IND,CB,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Zaire Franklin,IND,OLB,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Beau Allen,TB,DT,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jamel Dean,TB,CB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Denzel Perryman,LAC,ILB,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,C.J. Ham,MIN,FB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Sebastian Joseph-Day,LAR,NT,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Troymaine Pope,LAC,RB,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Emeke Egbule,LAC,OLB,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Benny Snell Jr.,PIT,RB,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Patrick Robinson,NO,CB,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Mike Purcell,DEN,NT,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Elandon Roberts,NE,LB,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Brandon Wilson,CIN,FS,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Mike Boone,MIN,RB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Cooper Rush,DAL,QB,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Pharoh Cooper,CIN,WR,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Renell Wren,CIN,DT,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,J.J. Arcega-Whiteside,PHI,WR,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Tyler Ervin,JAX,RB,1,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jordan Wilkins,IND,RB,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Cody Core,NYG,WR,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Deone Bucannon,TB,ILB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Wendell Smallwood,WAS,RB,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Deionte Thompson,ARI,SS,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Zak DeOssie,NYG,LS,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,L.J. Fort,PHI,OLB,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Ryan Anderson,WAS,OLB,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Zach Wood,NO,LS,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Casey Kreiter,DEN,LS,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jaron Brown,SEA,WR,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jordan Evans,CIN,OLB,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Zach Line,NO,FB,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Corey Ballentine,NYG,CB,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Russell Shepard,NYG,WR,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jon Weeks,HOU,LS,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Andrew Beck,DEN,TE,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Ross Dwelley,SF,TE,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Justin Hollins,DEN,OLB,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Luke Rhodes,IND,LS,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,J.P. Holtz,WAS,TE,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
